title,description,publishedAt,source
Video World Series Game 2 highlights - ABC News,Dodgers' star player Shohei Ohtani suffered a shoulder injury in his team's Game 2 win over the Yankees.,2024-10-27T14:11:44Z,ABC News
This is the Mac Mini’s big moment - The Verge,"Apple is nearing the announcement of its M4-powered Mac Mini, which is rumored to be the company’s smallest computer ever.",2024-10-27T14:00:00Z,The Verge
Georgia: Ruling Georgian Dream party wins election - DW (English),"Georgia's electoral commission has declared the ruling Georgian Dream party the winner of Saturday's vote. Opposition parties are not recognizing the results, while OSCE observers spoke of ""democratic backsliding.""",2024-10-27T13:25:30Z,DW (English)
Coffee Price War Burns Keurig and Starbucks - The Wall Street Journal,,2024-10-27T13:00:00Z,The Wall Street Journal
Top NFL matchups to target for Week 8 betting - Pro Football Focus,"Diving into key games on the Week 8 slate, highlighting where the betting market may be missing opportunities.",2024-10-27T12:15:22Z,Pff.com
"Truck ramming attack near Israeli army base leaves 1 dead, dozens injured; suspect killed - Fox News","Israeli authorities are investigating a potential terrorist attack after suspect rammed a truck into a bus stop outside of Tel Aviv, injuring dozens.",2024-10-27T12:14:00Z,Fox News
"3 Duds, 2 studs from Mavericks' sloppy first loss against Suns - The Smoking Cuban",Here are three duds and two studs from the Dallas Mavericks' first loss of the season to the Phoenix Suns on the road.,2024-10-27T11:00:00Z,The Smoking Cuban
Republican battleground-state legal blitz falters ahead of election - Reuters,Trump's allies have been dealt at least 10 court losses in battleground states.,2024-10-27T10:56:00Z,Reuters
Adele Bursts into Tears as She Embraces Celine Dion in the Audience of Her Las Vegas Residency - PEOPLE,"Adele began to cry as she embraced Céline Dion, who was in the audience at her Las Vegas residency show at the Colosseum at Caesars Palace on Saturday, Oct. 26. Dion also appeared emotional as a result of the touching encounter.",2024-10-27T10:52:49Z,PEOPLE
Israel pounds Gaza and Lebanon after Iran strikes - Yahoo! Voices,"Israel bombarded Hezbollah and Hamas targets in Lebanon and Gaza on Sunday, with no respite in the conflict one day after its strikes on Iran raised fears of...",2024-10-27T10:36:05Z,Yahoo Entertainment
Alzheimer’s Breakthrough: Popular Diabetes Drug Ozempic Linked to Much Lower Risk - SciTechDaily,"Semaglutide may reduce Alzheimer's risk in type 2 diabetes patients, with research suggesting significant protective benefits compared to other diabetes drugs. Researchers at Case Western Reserve School of Medicine have found that semaglutide, a popular drug …",2024-10-27T10:34:16Z,SciTechDaily
The Kushners’ Real Estate Empire Is Now Worth More Than Trump’s - Forbes,"While Jared Kushner moved to D.C. to advise then President Trump, his family’s real estate business prospered—it's now more valuable than his father-in-law’s.",2024-10-27T10:30:00Z,Forbes
"Snapdragon 8 Elite Has Full Linux Support, Making It Easier To Run PC Games Through Emulation, GPU Side To Require Patches To Ensure Optimum Performance - Wccftech",A Qualcomm executive has said that Linux support for the Snapdragon 8 Elite went live just a few hours after the chipset’s announcement,2024-10-27T10:18:00Z,Wccftech
"Tropical disturbance ‘likely to develop’ this week, NHC says - WFLA","A new system has formed in the Caribbean, that is “likely to develop” sometime this week, according to the National Hurricane Center.",2024-10-27T10:03:24Z,WFLA
"Week 8 fantasy football rankings: PPR, half-PPR and standard leagues - USA TODAY","The 2024 NFL season is chugging along. Here are Week 8 expert fantasy football rankings for PPR, half-PPR, and standard leagues.",2024-10-27T09:32:11Z,USA Today
Trump returns to ‘epicenter of everything’ for Madison Square Garden rally - CNN,"Donald Trump is kicking off the final full week of the presidential race Sunday with a rally at Madison Square Garden, betting on his own showmanship as he seeks to fill the iconic venue and create a spectacle that will reach television and phone screens in a…",2024-10-27T09:00:00Z,CNN
NC man wins $1 million for signing Elon Musk petition. Why the checks may be short-lived - Charlotte Observer,A North Carolina father reaped $1 million for signing Elon Musk’s pro-Donald Trump constitution petition. U.S. Justice Department has questions,2024-10-27T09:00:00Z,Charlotte Observer
"Israeli strikes on Gaza kill 22, officials say, as truck ramming near Tel Aviv hurts dozens - The Associated Press","Palestinian officials say Israeli strikes on northern Gaza have killed at least 22 people, mostly women and children. Israel's offensive in the hard-hit and isolated north entered a third week Sunday as aid groups described a humanitarian catastrophe. In a se…",2024-10-27T08:46:00Z,Associated Press
Japan voting for new leader in shadow of scandals - BBC.com,The prime minister announced a snap election despite voter apathy and low approval ratings.,2024-10-27T08:18:30Z,BBC News
[Removed],[Removed],2024-10-27T08:09:51Z,[Removed]
